latitude,longitude,nearest_drain_distance_km,drain_width_m,drain_depth_m,drain_length_km,drain_type,water_flow,drain_status,target,elevation_m
12.96464147,80.19598592,0.006557,1.25,1.25,0.563936,SWD,YES,GOOD,1,14.0
12.96464669,80.1959135,0.006563,1.25,1.25,0.563936,SWD,YES,GOOD,1,14.0
12.96515214,80.19233543,0.007586,1.25,1.25,0.563936,SWD,YES,GOOD,1,15.0
12.96521912,80.19208733,0.006414,1.25,1.25,0.563936,SWD,YES,GOOD,1,15.0
12.99677716,80.24918921,0.097802,1.2,1.2,0.320483,SWD,YES,GOOD,1,9.0
12.99670431,80.24920732,0.097786,1.2,1.2,0.320483,SWD,YES,GOOD,1,9.0
13.00688792,80.24010926,0.037863,1.2,1.2,1.199664,SWD,YES,BAD,1,14.0
12.97966665,80.2432156,0.008929,1.35,1.35,0.290002,SWD,YES,GOOD,1,7.0
12.97832746,80.23890059,0.179134,0.93,0.93,0.02115,SWD,YES,GOOD,1,6.0
12.97820331,80.23972739,0.146578,0.94,0.94,0.26068,SWD,YES,GOOD,1,5.0
12.97802003,80.24108056,0.107326,0.94,0.94,0.26068,SWD,YES,GOOD,1,11.0
12.97807818,80.24142824,0.094855,0.94,0.94,0.26068,SWD,YES,GOOD,1,11.0
12.9782056,80.24187349,0.073023,0.94,0.94,0.26068,SWD,YES,GOOD,1,10.0
12.97840391,80.24251923,0.037712,0.94,0.94,0.26068,SWD,YES,GOOD,1,7.0
12.97853786,80.2430483,0.007648,1.45,1.45,0.286945,SWD,YES,GOOD,1,7.0
12.97838921,80.24317469,0.00469,1.45,1.45,0.286945,SWD,YES,GOOD,1,7.0
12.97881099,80.24313781,0.003018,1.35,1.35,0.290002,SWD,YES,GOOD,1,7.0
12.97835948,80.24098601,0.071546,0.94,0.94,0.26068,SWD,YES,GOOD,1,8.0
12.97510803,80.24406251,0.007459,1.18,1.18,1.362024,SWD,YES,GOOD,1,4.0
12.97485907,80.24414532,0.003614,1.18,1.18,1.362024,SWD,YES,GOOD,1,3.0
12.97464049,80.24420165,0.002418,1.18,1.18,1.362024,SWD,YES,GOOD,1,5.0
12.93575135,80.23390364,0.001888,0.75,0.75,1.408699,SWD,YES,GOOD,1,12.0
12.91398442,80.22935662,0.025239,0.75,0.75,0.368111,SIDE_DRAIN,YES,GOOD,1,4.0
12.91143181,80.19584745,0.001194,0.75,0.75,0.303084,SWD,YES,GOOD,1,17.0
12.91137396,80.1959021,0.000274,0.75,0.75,0.303084,SWD,YES,GOOD,1,17.0
12.92707258,80.19776087,0.012963,1.51,1.51,1.611079,SWD,YES,GOOD,1,15.0
12.92773986,80.19821215,0.007848,1.51,1.51,1.611079,SWD,YES,GOOD,1,14.0
12.9358912,80.20432625,0.011293,1.51,1.51,1.611079,SWD,YES,GOOD,1,9.0
12.94048943,80.20571563,0.052544,0.75,0.75,0.372478,SWD,YES,GOOD,1,7.0
12.94122039,80.20599324,0.040454,1.51,1.51,0.932536,SWD,YES,GOOD,1,7.0
12.95129029,80.21098584,0.010813,1.85,1.85,1.802702,SWD,YES,GOOD,1,5.0
12.97331664,80.21969497,0.010901,0.6,1.8,0.19852,SWD,YES,GOOD,1,9.0
12.97614633,80.2198958,0.036731,0.6,1.8,1.431518,SWD,YES,GOOD,1,9.0
12.97631197,80.21930739,0.000325,1.28,1.28,0.094681,SWD,YES,GOOD,1,9.0
12.97799422,80.21909986,0.042164,0.6,1.8,1.431518,SWD,YES,GOOD,1,10.0
12.99742628,80.21617256,0.005541,1.73,1.73,0.032734,SWD,YES,GOOD,1,15.0
13.00670237,80.21266423,0.051398,0.99,0.99,0.857239,SWD,YES,GOOD,1,16.0
13.0098038,80.21502256,0.018278,0.99,0.99,0.857239,SWD,YES,GOOD,1,13.0
12.99558246,80.20116225,0.06632,0.75,0.75,0.155439,SWD,YES,GOOD,1,12.0
12.99718258,80.2070906,0.002433,1.61,1.61,0.655931,SWD,YES,GOOD,1,16.0
12.99740962,80.20712782,0.001606,1.61,1.61,0.655931,SWD,YES,GOOD,1,16.0
12.94871485,80.20184319,0.170794,4.18,1.5,0.366294,SWD,YES,GOOD,1,2.0
12.94871649,80.20291675,0.107541,4.18,1.5,0.366294,SWD,YES,GOOD,1,3.0
12.94876125,80.20352729,0.097248,4.18,1.5,0.366294,SWD,YES,GOOD,1,5.0
12.97255277,80.19142818,0.034788,0.59,0.59,0.090116,SIDE_DRAIN,YES,GOOD,1,14.0
12.98530135,80.17683998,0.006884,0.6,0.6,0.559155,SWD,YES,GOOD,1,18.0
12.98922501,80.18541198,0.045895,0.95,0.95,0.400232,SWD,YES,GOOD,1,17.0
12.97686869,80.1935022,0.010645,1.53,1.53,0.794761,SWD,YES,GOOD,1,11.0
12.97770834,80.19380596,0.007632,1.53,1.53,0.794761,SWD,YES,GOOD,1,12.0
12.97949839,80.19460358,0.005168,1.53,1.53,0.794761,SWD,YES,GOOD,1,12.0
12.98092971,80.19526441,0.007205,1.14,1.14,0.757409,SWD,YES,GOOD,1,11.0
12.98199608,80.19589942,0.068609,1.2,1.2,0.519683,SWD,YES,GOOD,1,12.0
12.95934218,80.24459191,0.002519,1.39,1.39,0.535523,SWD,YES,GOOD,1,10.0
12.95902296,80.24447858,0.007716,1.39,1.39,0.535523,SWD,YES,GOOD,1,8.0
12.95875634,80.24434246,0.006947,1.39,1.39,0.535523,SWD,YES,GOOD,1,8.0
12.96233213,80.24597425,0.033812,1.32,1.32,0.40037,SWD,YES,GOOD,1,6.0
13.03326511,80.20966519,0.027777,0.9,0.9,0.293674,SWD,YES,BAD,1,13.0
13.03337878,80.20970542,0.025488,0.9,0.9,0.293674,SWD,YES,BAD,1,13.0
13.03347906,80.20972352,0.025222,0.9,0.9,0.293674,SWD,YES,BAD,1,13.0
13.03314752,80.20967625,0.024507,0.9,0.9,0.293674,SWD,YES,BAD,1,13.0
13.03524944,80.20977851,0.006231,1.23,1.23,0.265607,SWD,YES,GOOD,1,16.0
13.03509069,80.20992771,0.021784,1.23,1.23,0.265607,SWD,YES,GOOD,1,16.0
13.03666573,80.21224346,0.004319,1.45,1.45,1.340976,SWD,YES,BAD,1,18.0
13.03682611,80.21225151,0.004778,1.1,1.1,0.162693,SWD,YES,GOOD,1,18.0
13.03689078,80.21223843,0.003118,1.45,1.45,1.340976,SWD,YES,BAD,1,18.0
13.03706226,80.21225553,0.004382,1.45,1.45,1.340976,SWD,YES,BAD,1,18.0
13.03737681,80.21225922,0.00436,1.45,1.45,1.340976,SWD,YES,BAD,1,18.0
13.03765445,80.21225452,0.003372,1.45,1.45,1.340976,SWD,YES,BAD,1,17.0
13.03690417,80.21207515,0.006727,1.1,1.1,0.162693,SWD,YES,GOOD,1,18.0
13.03554962,80.20695616,0.00983,1.4,1.4,1.124835,SWD,YES,GOOD,1,15.0
13.0356316,80.20589802,0.001479,1.4,1.4,1.124835,SWD,YES,GOOD,1,14.0
13.03607256,80.20274777,0.000488,1.4,1.4,1.124835,SWD,YES,GOOD,1,17.0
13.03663405,80.19968636,0.01179,1.4,1.4,1.124835,SWD,YES,GOOD,1,16.0
13.0372798,80.19529894,0.00948,1.19,1.19,0.540022,SWD,YES,GOOD,1,15.0
13.03729809,80.20456363,0.005485,1.48,1.48,0.251742,SWD,YES,GOOD,1,16.0
13.04049353,80.20510074,0.008135,1.2,1.2,1.18151,SWD,YES,GOOD,1,17.0
13.03851317,80.2084877,0.002315,1.01,1.01,0.749981,SWD,YES,GOOD,1,17.0
13.04044258,80.20873312,0.003869,1.2,1.2,0.955642,SWD,YES,GOOD,1,16.0
13.04134636,80.20884611,0.001534,1.2,1.2,0.955642,SWD,YES,GOOD,1,16.0
13.04187713,80.20896513,0.005703,1.01,1.01,0.749981,SWD,YES,GOOD,1,14.0
13.04313399,80.2091093,0.001973,1.2,1.2,0.955642,SWD,YES,GOOD,1,15.0
13.03779327,80.21318257,0.002462,1.1,1.1,0.885576,SWD,YES,GOOD,1,14.0
13.03841877,80.21368448,0.008502,1.1,1.1,0.885576,SWD,YES,GOOD,1,16.0
13.03906975,80.21412872,0.007388,1.1,1.1,0.885576,SWD,YES,GOOD,1,16.0
13.03939311,80.21418136,0.002425,1.1,1.1,0.15273,SWD,YES,GOOD,1,15.0
13.03987947,80.21467086,0.00639,1.1,1.1,0.885576,SWD,YES,GOOD,1,15.0
13.04052979,80.21511275,0.005607,1.1,1.1,0.885576,SWD,YES,GOOD,1,15.0
13.04337308,80.21982808,0.003359,0.8,0.8,0.522386,SWD,YES,GOOD,1,15.0
13.04304286,80.22149339,0.001136,0.8,0.8,0.522386,SWD,YES,GOOD,1,15.0
13.04204894,80.22540171,0.00268,0.09,0.09,0.238968,SWD,YES,GOOD,1,16.0
13.04179743,80.22642028,0.000731,0.09,0.09,0.238968,SWD,YES,GOOD,1,15.0
13.04126503,80.22883125,0.012559,1.03,1.03,0.321538,SWD,YES,GOOD,1,16.0
13.04224263,80.22493768,0.003291,1.21,1.21,0.326223,SWD,YES,GOOD,1,15.0
13.04531127,80.22578862,0.006519,1.2,1.2,0.43006,SWD,YES,BAD,1,15.0
13.04620557,80.2260793,0.005168,1.2,1.2,0.43006,SWD,YES,BAD,1,14.0
13.04669354,80.22620972,0.00459,1.2,1.2,0.370684,SWD,YES,GOOD,1,15.0
13.0467471,80.22603907,0.005513,1.2,1.2,0.370684,SWD,YES,GOOD,1,15.0
13.04743791,80.23296855,0.020435,0.95,0.95,0.081277,SWD,YES,GOOD,1,12.0
13.04691597,80.23300476,0.002397,0.82,0.82,0.54362,SWD,YES,GOOD,1,12.0
13.0435978,80.2324757,0.001836,0.82,0.82,0.54362,SWD,YES,GOOD,1,14.0
13.04528841,80.23285322,0.012779,0.82,0.82,0.54362,SWD,YES,GOOD,1,13.0
13.04845337,80.23321934,0.030227,0.95,0.95,0.081277,SWD,YES,GOOD,1,16.0
13.05005478,80.23341246,0.035971,0.93,0.93,0.292401,SWD,YES,GOOD,1,13.0
13.05311549,80.23425534,0.016069,0.72,0.72,0.200661,SWD,YES,GOOD,1,14.0
13.04524954,80.24009485,0.004757,0.7,0.7,0.730167,SWD,YES,GOOD,1,11.0
13.04495068,80.24028931,0.016401,1.59,1.59,0.086613,SWD,YES,GOOD,1,11.0
13.04463679,80.23957115,0.006291,0.8,0.8,0.771238,SWD,YES,GOOD,1,17.0
13.03507697,80.23046203,0.003739,0.75,0.75,0.352786,SWD,YES,GOOD,1,13.0
13.03451026,80.23039967,0.005983,1.18,1.18,0.4792,SWD,YES,GOOD,1,10.0
13.03510898,80.23011334,0.006021,0.9,0.9,0.316847,SWD,YES,GOOD,1,13.0
13.03695578,80.23604203,0.004701,,,0.841516,SWD,YES,GOOD,1,13.0
13.03987881,80.24318475,0.010665,0.9,0.9,1.056608,SWD,YES,GOOD,1,14.0
13.05355413,80.23588646,0.033885,1.11,1.11,0.297327,SWD,YES,GOOD,1,15.0
13.05406887,80.22836655,0.008338,0.7,0.7,1.138467,SWD,YES,GOOD,1,13.0
13.05374324,80.22576313,0.008541,0.7,0.7,1.138467,SWD,YES,GOOD,1,18.0
13.05082494,80.21998633,0.000718,0.8,0.8,0.480349,SWD,YES,GOOD,1,15.0
13.04747841,80.21900799,0.009827,0.8,0.8,0.480349,SWD,YES,GOOD,1,16.0
13.04405802,80.21764576,0.013654,1.14,1.14,0.424619,SWD,YES,GOOD,1,14.0
13.05184169,80.21855704,0.000588,0.72,0.72,0.475421,SWD,YES,GOOD,1,14.0
13.0509079,80.21579504,0.002958,0.72,0.72,0.475421,SWD,YES,GOOD,1,17.0
13.05013643,80.21369621,0.002855,1.2,1.2,0.268114,SWD,YES,GOOD,1,16.0
13.16460964,80.20662121,0.127798,1.32,1.32,0.242252,SWD,YES,GOOD,1,15.0
13.16327701,80.20877436,0.122012,1.32,1.32,0.242252,SWD,YES,GOOD,1,11.0
13.16212262,80.20877671,0.161281,1.32,1.32,0.242252,SWD,YES,GOOD,1,12.0
13.16246639,80.20876497,0.142638,1.32,1.32,0.242252,SWD,YES,GOOD,1,12.0
13.16081641,80.20790633,0.233335,1.6,1.6,0.473354,SWD,YES,GOOD,1,13.0
13.15282364,80.20872172,0.05309,0.72,0.72,2.102292,SIDE_DRAIN,YES,GOOD,1,13.0
13.1449155,80.22320095,0.016076,0.75,0.75,0.20309,SIDE_DRAIN,YES,BAD,1,10.0
13.14405618,80.25435783,0.018433,0.75,0.75,0.43206,SWD,YES,GOOD,1,7.0
13.14471961,80.25442421,0.092156,0.75,0.75,0.43206,SWD,YES,GOOD,1,6.0
13.15392127,80.25701355,0.344264,0.8,0.8,0.244646,SWD,YES,GOOD,1,5.0
13.15396535,80.25743734,0.323612,0.8,0.8,0.244646,SWD,YES,GOOD,1,5.0
13.15609627,80.26105799,0.063538,0.79,0.79,0.075479,SWD,YES,GOOD,1,4.0
13.15319551,80.25757045,0.402173,0.8,0.8,0.244646,SWD,YES,GOOD,1,7.0
13.15147332,80.25796104,0.583911,0.8,0.8,0.244646,SWD,YES,GOOD,1,10.0
13.14891401,80.25815751,0.619303,0.75,0.75,0.162164,SWD,YES,GOOD,1,11.0
13.14999239,80.25844619,0.719133,0.79,0.79,0.075479,SWD,YES,GOOD,1,8.0
13.13087859,80.2007921,0.164559,1.6,1.6,0.239244,SWD,YES,GOOD,1,11.0
13.13325688,80.1941523,0.371471,0.75,0.75,0.236521,SWD,YES,GOOD,1,11.0
13.12972731,80.19382339,0.103031,0.75,0.75,0.15791,SWD,YES,GOOD,1,11.0
13.14536116,80.2189292,0.08239,1.82,1.82,1.684032,SWD,YES,GOOD,1,9.0
13.14618686,80.21778021,0.234879,1.82,1.82,1.684032,SWD,YES,GOOD,1,9.0
13.14198196,80.1855481,0.376462,1.2,1.2,0.971486,SIDE_DRAIN,YES,GOOD,1,15.0
13.14069426,80.18615294,0.2198,1.2,1.2,0.971486,SIDE_DRAIN,YES,GOOD,1,14.0
13.1321301,80.1708952,0.026504,0.75,0.75,1.276034,SIDE_DRAIN,YES,GOOD,1,21.0
13.12221384,80.16743749,0.031385,0.4,0.4,0.467012,SWD,YES,GOOD,1,15.0
13.1195037,80.16857006,0.136182,0.4,0.4,0.467012,SWD,YES,GOOD,1,15.0
13.11734406,80.16902804,0.314213,0.4,0.4,0.470064,SIDE_DRAIN,YES,GOOD,1,15.0
13.12338344,80.20153608,0.003712,0.67,0.67,1.150667,SWD,YES,GOOD,1,12.0
13.01543879,80.18901352,0.128092,0.7,0.7,0.710384,SWD,YES,GOOD,1,17.0
13.01595361,80.18160861,0.072706,1.92,1.92,0.803805,SWD,YES,GOOD,1,11.0
13.100092,80.16768359,0.020038,2.16,2.16,0.868365,SWD,YES,GOOD,1,17.0
13.09961687,80.17087173,0.003295,1.28,1.28,0.636594,SWD,YES,GOOD,1,20.0
13.0995692,80.17204821,0.038877,1.28,1.28,0.636594,SWD,YES,GOOD,1,20.0
13.10198468,80.21483783,0.022607,0.83,0.83,0.147736,SWD,YES,GOOD,1,15.0
13.1026208,80.20937316,0.005133,0.79,0.79,0.800535,SWD,YES,GOOD,1,14.0
13.10560967,80.20929169,0.00034,1.01,1.01,0.839713,SWD,YES,GOOD,1,17.0
13.10556951,80.21083999,0.001216,1.01,1.01,0.839713,SWD,YES,GOOD,1,15.0
13.10585295,80.20727534,0.01036,0.94,0.94,0.121129,SWD,YES,GOOD,1,14.0
13.10530468,80.20719118,0.027901,1.29,1.29,0.070883,SWD,YES,GOOD,1,15.0
13.10560053,80.20713653,0.002769,1.29,1.29,0.288999,SWD,YES,GOOD,1,15.0
13.11413949,80.19854844,0.100705,1.32,1.32,0.32911,SWD,YES,GOOD,1,13.0
12.9,80.1,10.284995,0.3,0.3,0.225224,SIDE_DRAIN,YES,GOOD,0,29.0
12.9,80.16,3.901578,0.3,0.3,0.225224,SIDE_DRAIN,YES,GOOD,0,19.0
12.9,80.22,0.346387,0.75,0.75,0.241122,SIDE_DRAIN,YES,GOOD,0,2.0
12.9,80.28,3.395331,0.75,0.75,0.217576,SWD,YES,GOOD,0,0.0
12.9,80.345,9.822394,0.75,0.75,0.217576,SWD,YES,GOOD,0,0.0
12.905,80.15,4.834169,0.3,0.3,0.225224,SIDE_DRAIN,YES,GOOD,0,25.0
12.905,80.215,1.119192,0.75,0.75,0.241122,SIDE_DRAIN,YES,GOOD,0,3.0
12.905,80.28,3.047986,0.75,0.75,0.217576,SWD,YES,GOOD,0,0.0
12.905,80.34,9.174457,0.75,0.75,0.217576,SWD,YES,GOOD,0,0.0
12.91,80.145,5.329772,0.3,0.3,0.225224,SIDE_DRAIN,YES,GOOD,0,29.0
12.91,80.22,1.002207,0.6,0.6,0.354829,SIDE_DRAIN,YES,GOOD,0,3.0
12.91,80.295,4.294217,0.75,0.75,0.217576,SWD,YES,GOOD,0,0.0
12.915,80.1,10.219046,0.3,0.3,0.225224,SIDE_DRAIN,YES,GOOD,0,22.0
12.915,80.16,3.724985,0.3,0.3,0.225224,SIDE_DRAIN,YES,GOOD,0,18.0
12.915,80.255,0.575813,0.75,0.75,0.217576,SWD,YES,GOOD,0,6.0
12.915,80.315,6.32636,0.75,0.75,0.217576,SWD,YES,GOOD,0,0.0
12.92,80.12,8.09946,0.3,0.3,0.225224,SIDE_DRAIN,YES,GOOD,0,41.0
12.92,80.18,1.798119,0.7,0.7,0.042043,SIDE_DRAIN,YES,GOOD,0,20.0
12.92,80.25,0.404719,1.07,1.07,0.376299,SWD,YES,GOOD,0,9.0
12.92,80.31,5.751508,0.75,0.75,0.217576,SWD,YES,GOOD,0,0.0
12.925,80.115,8.419262,1.65,1.65,1.140986,SWD,YES,GOOD,0,35.0
12.925,80.18,1.883621,1.51,1.51,1.611079,SWD,YES,GOOD,0,21.0
12.925,80.25,0.105948,1.45,1.45,0.67071,SWD,YES,GOOD,0,6.0
12.925,80.31,5.768999,0.75,0.75,0.217576,SWD,YES,GOOD,0,0.0
12.93,80.115,8.017697,1.65,1.65,1.140986,SWD,YES,GOOD,0,34.0
12.93,80.18,1.926163,1.51,1.51,1.611079,SWD,YES,GOOD,0,19.0
12.93,80.26,1.063621,0.75,0.75,0.217576,SWD,YES,GOOD,0,0.0
12.93,80.32,6.82761,0.4,0.4,0.27067,SIDE_DRAIN,YES,BAD,0,0.0
12.935,80.13,6.524078,1.65,1.65,1.140986,SWD,YES,GOOD,0,30.0
12.935,80.19,1.189448,0.75,0.75,0.211452,SWD,YES,GOOD,0,10.0
12.935,80.28,2.884634,0.4,0.4,0.27067,SIDE_DRAIN,YES,BAD,0,0.0
12.935,80.34,8.683754,0.4,0.4,0.27067,SIDE_DRAIN,YES,BAD,0,0.0
12.94,80.15,4.67172,0.87,0.87,0.380705,SWD,YES,GOOD,0,28.0
12.94,80.225,0.687364,0.7,0.7,0.321058,SWD,YES,GOOD,0,2.0
12.94,80.295,3.903548,0.4,0.4,0.27067,SIDE_DRAIN,YES,BAD,0,0.0
12.945,80.105,7.847284,1.65,1.65,1.140986,SWD,YES,GOOD,0,15.0
12.945,80.165,2.954208,0.87,0.87,0.380705,SWD,YES,GOOD,0,13.0
12.945,80.24,0.030445,0.66,0.66,0.393024,SIDE_DRAIN,YES,GOOD,0,8.0
12.945,80.3,4.207499,0.4,0.4,0.27067,SIDE_DRAIN,YES,BAD,0,0.0
12.95,80.11,7.100513,1.65,1.65,1.140986,SWD,YES,GOOD,0,23.0
12.95,80.17,2.270523,0.87,0.87,0.380705,SWD,YES,GOOD,0,10.0
12.95,80.25,0.02227,0.75,0.75,0.147036,SWD,YES,GOOD,0,6.0
12.95,80.315,5.698941,0.4,0.4,0.27067,SIDE_DRAIN,YES,BAD,0,0.0
12.955,80.12,5.884162,1.65,1.65,1.140986,SWD,YES,GOOD,0,18.0
12.955,80.18,1.117839,0.75,0.75,0.742285,SWD,YES,GOOD,0,11.0
12.955,80.28,1.868856,0.4,0.4,0.27067,SIDE_DRAIN,YES,BAD,0,0.0
12.955,80.345,8.77844,0.3,0.3,0.208594,SIDE_DRAIN,YES,GOOD,0,0.0
12.96,80.15,3.009585,1.65,1.65,1.140986,SWD,YES,GOOD,0,21.0
12.96,80.255,0.072844,0.7,0.7,0.326722,SWD,YES,GOOD,0,5.0
12.96,80.32,6.012954,0.3,0.3,0.208594,SIDE_DRAIN,YES,GOOD,0,0.0
12.965,80.125,4.912259,1.65,1.65,1.140986,SWD,YES,GOOD,0,19.0
12.965,80.185,0.473753,0.4,0.4,0.047107,SWD,YES,GOOD,0,15.0
12.965,80.29,2.712976,0.3,0.3,0.208594,SIDE_DRAIN,YES,GOOD,0,0.0
12.97,80.1,7.345333,1.05,1.05,0.285659,SWD,YES,GOOD,0,17.0
12.97,80.16,1.480791,1.65,1.65,1.140986,SWD,YES,GOOD,0,140.0
12.97,80.27,0.546808,0.3,0.3,0.208594,SIDE_DRAIN,YES,GOOD,0,0.0
12.97,80.335,7.45802,0.76,0.76,0.451446,SWD,YES,GOOD,0,0.0
12.975,80.14,3.021212,1.65,1.65,1.140986,SWD,YES,GOOD,0,21.0
12.975,80.265,0.209494,1.21,1.21,0.361499,SWD,YES,GOOD,0,12.0
12.975,80.325,6.264766,0.76,0.76,0.451446,SWD,YES,GOOD,0,0.0
12.98,80.135,3.481622,1.65,1.65,1.140986,SWD,YES,GOOD,0,21.0
12.98,80.265,0.144506,0.99,0.99,0.141337,SWD,YES,GOOD,0,12.0
12.98,80.325,6.147913,1.3,1.3,0.978216,SWD,YES,GOOD,0,0.0
12.985,80.135,3.499871,1.65,1.65,1.140986,SWD,YES,GOOD,0,14.0
12.985,80.255,0.019346,1.6,1.6,0.472595,SWD,YES,GOOD,0,10.0
12.985,80.315,4.958523,1.3,1.3,0.978216,SWD,YES,GOOD,0,0.0
12.99,80.125,3.880731,1.05,1.05,0.285659,SWD,YES,GOOD,0,12.0
12.99,80.215,0.028091,3.2,3.2,0.685692,SIDE_DRAIN,YES,GOOD,0,11.0
12.99,80.275,0.648141,0.76,0.76,0.451446,SWD,YES,GOOD,0,0.0
12.99,80.335,7.019476,1.3,1.3,0.978216,SWD,YES,GOOD,0,0.0
12.995,80.145,2.334954,1.5,1.5,0.138984,SWD,YES,GOOD,0,8.0
12.995,80.24,0.480845,0.9,0.9,0.618178,SWD,YES,GOOD,0,15.0
12.995,80.315,4.826027,1.3,1.3,0.978216,SWD,YES,GOOD,0,0.0
13.0,80.125,3.110422,1.05,1.05,0.285659,SWD,YES,GOOD,0,16.0
13.0,80.185,0.684273,0.61,0.61,0.381553,SWD,YES,GOOD,0,22.0
13.0,80.285,1.656197,1.3,1.3,0.978216,SWD,YES,GOOD,0,0.0
13.0,80.345,7.894849,0.9,0.9,0.366818,SWD,YES,GOOD,0,0.0
13.005,80.155,0.913038,1.5,1.5,0.138984,SWD,YES,GOOD,0,12.0
13.005,80.23,0.410068,2.8,2.8,0.092966,SWD,YES,GOOD,0,18.0
13.005,80.305,3.655767,0.9,0.9,0.366818,SWD,YES,GOOD,0,0.0
13.01,80.115,3.489361,0.85,0.85,0.392999,SWD,YES,GOOD,0,21.0
13.01,80.175,0.365257,0.89,0.89,0.087785,SWD,YES,GOOD,0,12.0
13.01,80.28,1.188022,1.13,1.13,0.132752,SWD,YES,GOOD,0,0.0
13.01,80.34,7.112836,0.9,0.9,0.366818,SWD,YES,GOOD,0,0.0
13.015,80.15,0.241538,0.95,0.95,0.174522,SWD,YES,GOOD,0,16.0
13.015,80.24,0.044691,1.2,1.2,1.150055,SWD,YES,BAD,0,14.0
13.015,80.3,2.749046,0.9,0.9,0.366818,SWD,YES,GOOD,0,0.0
13.02,80.11,3.787577,0.6,0.6,0.393101,SWD,YES,GOOD,0,22.0
13.02,80.17,0.024084,0.5,0.5,0.153707,OPEN_DRAIN,YES,GOOD,0,16.0
13.02,80.245,0.020615,0.9,0.9,0.218505,SIDE_DRAIN,YES,GOOD,0,11.0
13.02,80.305,3.219562,0.9,0.9,0.366818,SWD,YES,GOOD,0,0.0
13.025,80.115,3.013249,0.6,0.6,0.393101,SWD,YES,GOOD,0,20.0
13.025,80.175,0.086558,1.15,1.15,0.48334,SWD,YES,GOOD,0,15.0
13.025,80.235,0.298776,1.18,1.18,0.369443,SWD,YES,GOOD,0,11.0
13.025,80.3,2.575451,0.8,0.8,0.104015,SWD,YES,GOOD,0,0.0
13.03,80.105,3.550422,0.6,0.6,0.393101,SWD,YES,GOOD,0,22.0
13.03,80.165,0.044623,0.63,0.63,0.187327,SWD,YES,GOOD,0,20.0
13.03,80.255,0.089813,0.87,0.87,0.207937,SWD,YES,GOOD,0,13.0
13.03,80.32,4.548293,0.95,0.95,0.203049,SWD,YES,GOOD,0,0.0
13.035,80.125,1.465072,0.6,0.6,0.393101,SWD,YES,GOOD,0,22.0
