latitude,longitude,zone,ward,remarks,inundation_depth_inches,flood_occurred,flood_risk_level,rainfall_mean_mm,rainfall_max_mm,rainfall_median_mm,flood_probability,elevation_m,nearest_drain_distance_km,drain_type,drain_width_m,drain_depth_m,water_flow,drain_status,drain_length_km,drainage_capacity_score
12.97622572,80.22122987,,,partially inundated on sides of the road,6.0,1,HIGH,13.65,348.1,5.45,10.0,9.0,0.12349834472053214,SWD,5.94,5.94,Yes,Good,0.13192,29.49
12.97753159,80.22123925,,,partially inundated on the road side,6.0,1,HIGH,13.65,348.1,5.45,10.0,12.0,0.13428415689239237,SWD,1.08,1.08,Yes,Good,0.18896300000000002,8.35
12.97749761,80.22125937,,,partially flooded,6.0,1,HIGH,13.65,348.1,5.45,10.0,12.0,0.13154454348870476,SWD,1.08,1.08,Yes,Good,0.18896300000000002,8.35
12.978268,80.22121076,,,partially flooded on the road side,6.0,1,HIGH,13.65,348.1,5.45,10.0,12.0,0.1710265581026531,SWD,1.08,1.08,Yes,Good,0.18896300000000002,8.35
12.97865319,80.22120036,,,partially inundated on the road side,6.0,1,HIGH,13.65,348.1,5.45,10.0,10.0,0.1899557277198247,SWD,8.88,8.88,Yes,Good,0.150794,43.38
12.97996134,80.22106793,,,flood inundated on the road,6.0,1,HIGH,13.65,348.1,5.45,10.0,9.0,0.20433523204795043,SWD,0.6,0.6,Yes,Bad,0.069025,3.67
12.98029981,80.22100825,,,flood inundated on the road near tneb office,9.0,1,HIGH,13.65,348.1,5.45,15.0,12.0,0.20155409744957214,SWD,0.6,0.6,Yes,Bad,0.069025,3.67
12.98083365,80.22096667,,,partially flooded,8.0,1,HIGH,13.65,348.1,5.45,13.33,12.0,0.21665841703768798,SWD,0.6,0.6,Yes,Bad,0.069025,3.67
12.98094931,80.22101026,,,partially flooded on the road,9.0,1,HIGH,13.65,348.1,5.45,15.0,12.0,0.22686781973847403,SWD,0.6,0.6,Yes,Bad,0.069025,3.67
12.98102641,80.22105418,,,partially flooded,9.5,1,HIGH,13.65,348.1,5.45,15.83,12.0,0.23525894522712945,SWD,0.6,0.6,Yes,Bad,0.069025,3.67
12.98113324,80.22108268,,,partially flooded,7.5,1,HIGH,13.65,348.1,5.45,12.5,12.0,0.24409300915639148,SWD,0.6,0.6,Yes,Bad,0.069025,3.67
12.97438468,80.22041917,,,partially flooded,6.0,1,HIGH,13.65,348.1,5.45,10.0,11.0,0.06118221393127384,SWD,0.6,1.8,Yes,Good,0.21761300000000003,12.2
12.9636665,80.21545239,,,partially flooded on the road near bus stop,5.5,1,MODERATE,13.65,348.1,5.45,9.17,5.0,0.26646794432910215,SWD,1.75,1.75,Yes,Good,0.380823,15.4
12.96374525,80.21517377,,,partially flooded on the road side,5.5,1,MODERATE,13.65,348.1,5.45,9.17,5.0,0.24593830808595393,SWD,1.75,1.75,Yes,Good,0.380823,15.4
12.96467937,80.1961197,,,completely flooded  on the road junction,6.5,1,HIGH,13.65,348.1,5.45,10.83,14.0,0.06743289917224043,SWD,0.75,0.75,Yes,Good,0.125982,5.53
12.96464147,80.19598592,,,partially flooded on the road side,5.5,1,MODERATE,13.65,348.1,5.45,9.17,14.0,0.05239158022403376,SWD,0.75,0.75,Yes,Good,0.125982,5.53
12.96464669,80.1959135,,,food water completely  inundate and cause road block sometimes,17.0,1,CRITICAL,13.65,348.1,5.45,28.33,14.0,0.04545058881939099,SWD,0.75,0.75,Yes,Good,0.125982,5.53
12.96515214,80.19233543,,,partially flooded on the road side,5.7,1,MODERATE,13.65,348.1,5.45,9.5,15.0,0.07250145149104452,SWD,1.35,1.35,Yes,Good,0.06222900000000001,6.97
12.96521912,80.19208733,,,partially flooded on the road side,5.5,1,MODERATE,13.65,348.1,5.45,9.17,15.0,0.08462912528532374,Side Drain,0.75,0.75,Yes,Good,0.137195,5.77
12.99677716,80.24918921,,,partially  covered  one side of the road,7.0,1,HIGH,13.65,348.1,5.45,11.67,9.0,0.11893498962299587,SWD,1.84,1.84,Yes,Good,0.15918200000000002,11.23
12.99670431,80.24920732,,,partially flooded covering one side of the road,6.0,1,HIGH,13.65,348.1,5.45,10.0,9.0,0.1231048250413848,SWD,1.84,1.84,Yes,Good,0.15918200000000002,11.23
13.00688792,80.24010926,,,partially  flooded  covering  flyover  entry,7.0,1,HIGH,13.65,348.1,5.45,11.67,14.0,0.42958357824194293,SWD,1.58,1.58,Yes,Good,0.021222,7.18
12.97966665,80.2432156,,,completely flooded  and drain within 2 hours,29.0,1,CRITICAL,13.65,348.1,5.45,48.33,7.0,0.06424535019751805,SWD,1.35,1.35,Yes,Good,0.29000200000000004,11.68
12.97832746,80.23890059,,,completely flooded bocking railway  station exit upto 1 feet,17.0,1,CRITICAL,13.65,348.1,5.45,28.33,6.0,0.19147615838316842,SWD,0.93,0.93,Yes,Good,0.021150000000000002,4.19
12.97820331,80.23972739,,,completely flooded,10.5,1,HIGH,13.65,348.1,5.45,17.5,5.0,0.19335096150566194,SWD,0.93,0.93,Yes,Good,0.021150000000000002,4.19
12.97802003,80.24108056,,,completely flooded upto 12,6.0,1,HIGH,13.65,348.1,5.45,10.0,11.0,0.1445189253991187,SWD,0.94,0.94,Yes,Good,0.26068,9.19
12.97807818,80.24142824,,,completely flooded upto10,5.0,1,MODERATE,13.65,348.1,5.45,8.33,11.0,0.11289254124859395,SWD,0.94,0.94,Yes,Good,0.26068,9.19
12.9782056,80.24187349,,,completely flooded bocking railway station entrance  upto 2 feet,6.0,1,HIGH,13.65,348.1,5.45,10.0,10.0,0.0755962943820011,SWD,0.94,0.94,Yes,Good,0.26068,9.19
12.97840391,80.24251923,,,completely inundated,7.0,1,HIGH,13.65,348.1,5.45,11.67,7.0,0.06598831914880784,SWD,0.94,0.94,Yes,Good,0.26068,9.19
12.97853786,80.2430483,,,completely flooded bocking railway station entrance  upto 1 feet,7.0,1,HIGH,13.65,348.1,5.45,11.67,7.0,0.05758024876841131,SWD,0.75,0.75,Yes,Good,0.527239,13.84
12.97838921,80.24317469,,,completely flooded  upto 1.5 feet reported drain in 2 hours,20.0,1,CRITICAL,13.65,348.1,5.45,33.33,7.0,0.039877480272448584,SWD,0.75,0.75,Yes,Good,0.527239,13.84
12.97881099,80.24313781,,,completely flooded  reported,20.0,1,CRITICAL,13.65,348.1,5.45,33.33,7.0,0.06811869290611862,SWD,0.75,0.75,Yes,Good,0.527239,13.84
12.97835948,80.24098601,,,railway station covered by flood upto 1 feet,16.0,1,CRITICAL,13.65,348.1,5.45,26.67,8.0,0.13334850892346897,SWD,0.94,0.94,Yes,Good,0.26068,9.19
12.97510803,80.24406251,,,completely flooded upto  1 feet and drain in 2 hours,9.0,1,HIGH,13.65,348.1,5.45,15.0,4.0,0.23223854551791767,Side Drain,0.4,0.4,Yes,Good,0.109625,3.59
12.97485907,80.24414532,,,completely flooded upto 1 feet,5.0,1,MODERATE,13.65,348.1,5.45,8.33,3.0,0.20455139463624958,Side Drain,0.4,0.4,Yes,Good,0.109625,3.59
12.97464049,80.24420165,,,completely flooded,7.0,1,HIGH,13.65,348.1,5.45,11.67,5.0,0.18049928102353144,Side Drain,0.4,0.4,Yes,Good,0.109625,3.59
12.93575135,80.23390364,,,flood water inundated  into road juction,6.0,1,HIGH,13.65,348.1,5.45,10.0,12.0,0.3173527025253093,SWD,0.75,0.75,Yes,Good,0.572478,14.77
12.91398442,80.22935662,,,inundated  into road  covering junction,6.5,1,HIGH,13.65,348.1,5.45,10.83,4.0,0.11342919726947363,Side Drain,0.75,0.75,Yes,Good,0.368111,10.54
12.91143181,80.19584745,,,partially inundated on the junction,6.0,1,HIGH,13.65,348.1,5.45,10.0,17.0,0.0032599010988167945,SWD,0.75,0.75,Yes,Good,0.30308399999999996,9.2
12.91137396,80.1959021,,,partially inundated,6.0,1,HIGH,13.65,348.1,5.45,10.0,17.0,0.01169398002255198,SWD,0.75,0.75,Yes,Good,0.30308399999999996,9.2
12.92707258,80.19776087,,,one side of the road got partially  flood,6.0,1,HIGH,13.65,348.1,5.45,10.0,15.0,0.049813604481889255,SWD,1.56,1.56,Yes,Good,0.38833900000000005,14.68
12.92773986,80.19821215,,,connecting road junction got flooded,6.0,1,HIGH,13.65,348.1,5.45,10.0,14.0,0.09798526239400124,SWD,1.56,1.56,Yes,Good,0.38833900000000005,14.68
12.9358912,80.20432625,,,main road got partially  flooded and connection got afffected,8.5,1,HIGH,13.65,348.1,5.45,14.17,9.0,0.1136451808426059,SWD,0.7,0.7,Yes,Good,0.12447400000000002,5.27
12.94048943,80.20571563,,,partially  flooded  covering  half of the road on both side,6.0,1,HIGH,13.65,348.1,5.45,10.0,7.0,0.0764554466290062,Side Drain,0.3,0.3,Yes,Good,0.039991000000000006,1.69
12.94122039,80.20599324,,,both side of the road got flooded,6.5,1,HIGH,13.65,348.1,5.45,10.83,7.0,0.14896063167156842,Side Drain,0.3,0.3,Yes,Good,0.039991000000000006,1.69
12.95129029,80.21098584,,,service road joining main road  got partially  flooded,6.5,1,HIGH,13.65,348.1,5.45,10.83,5.0,0.3156487240582332,SWD,0.9,0.9,Yes,Good,0.210347,7.97
12.97331664,80.21969497,,,partially flooded,6.0,1,HIGH,13.65,348.1,5.45,10.0,9.0,0.0774459895954129,SWD,1.2,1.2,Yes,Good,0.05861600000000001,6.21
12.97614633,80.2198958,,,partially flooded,6.5,1,HIGH,13.65,348.1,5.45,10.83,9.0,0.08070396126636963,SWD,1.28,1.28,Yes,Good,0.094681,7.32
12.97631197,80.21930739,,,road got completely  flooed,7.0,1,HIGH,13.65,348.1,5.45,11.67,9.0,0.018545512232103906,SWD,1.28,1.28,Yes,Good,0.094681,7.32
12.97799422,80.21909986,,,partially  side of the road got flooded,8.0,1,HIGH,13.65,348.1,5.45,13.33,10.0,0.0905351741874563,SWD,1.05,1.05,Yes,Good,0.17805700000000002,7.99
12.99742628,80.21617256,,,completely  flooded,29.0,1,CRITICAL,13.65,348.1,5.45,48.33,15.0,0.027324723947804275,SWD,1.73,1.73,Yes,Good,0.032734,8.1
13.00670237,80.21266423,,,partially  flooded  covering  one side  of the road,6.0,1,HIGH,13.65,348.1,5.45,10.0,16.0,0.35742936560018623,SWD,0.9,0.9,Yes,Good,0.303974,9.91
13.0098038,80.21502256,,,flood water completely  get inundated  into the road,15.0,1,CRITICAL,13.65,348.1,5.45,25.0,13.0,0.150743741555927,SWD,0.99,0.99,Yes,Good,0.8572390000000001,21.77
12.99558246,80.20116225,,,flood water inundate upto 2feet in subway,7.0,1,HIGH,13.65,348.1,5.45,11.67,12.0,0.0786080959825281,SWD,0.75,0.75,Yes,Good,0.057095,4.11
12.99718258,80.2070906,,,partially flooded covering half road,9.5,1,HIGH,13.65,348.1,5.45,15.83,16.0,0.06029743493271031,SWD,0.75,0.75,Yes,Good,0.038362,3.72
12.99740962,80.20712782,,,partially flooded,7.5,1,HIGH,13.65,348.1,5.45,12.5,16.0,0.053479689374241114,SWD,0.75,0.75,Yes,Good,0.038362,3.72
12.94871485,80.20184319,,,completely inundated covering entirely- traffic inspector record,60.0,1,CRITICAL,13.65,348.1,5.45,100.0,2.0,0.3545397511984133,SWD,4.18,4.18,Yes,Good,0.366294,26.26
12.94871649,80.20291675,,,completely inundated covering entirely,40.0,1,CRITICAL,13.65,348.1,5.45,66.67,3.0,0.24405941367244316,SWD,4.18,4.18,Yes,Good,0.366294,26.26
12.94876125,80.20352729,,,completely inundated  covering entirely,15.0,1,CRITICAL,13.65,348.1,5.45,25.0,5.0,0.18208226898226124,SWD,4.18,4.18,Yes,Good,0.366294,26.26
12.97255277,80.19142818,,,completely inundated,14.0,1,CRITICAL,13.65,348.1,5.45,23.33,14.0,0.06544427415391565,Side Drain,0.32,0.32,Yes,Good,0.019712000000000004,1.36
12.98530135,80.17683998,,,completely inundated subway blocked,35.0,1,CRITICAL,13.65,348.1,5.45,58.33,18.0,0.039307966546179636,SWD,0.6,0.6,Yes,Good,0.5591550000000001,13.81
12.98922501,80.18541198,,,completely inundated subways blocked,35.0,1,CRITICAL,13.65,348.1,5.45,58.33,17.0,0.09710150771105498,SWD,0.95,0.95,Yes,Good,0.120601,6.34
12.97686869,80.1935022,,,completely inundated,14.0,1,CRITICAL,13.65,348.1,5.45,23.33,11.0,0.09622438875936264,Side Drain,0.68,0.68,Yes,Bad,0.108533,4.85
12.97770834,80.19380596,,,,5.0,1,MODERATE,13.65,348.1,5.45,8.33,12.0,0.0028290986669242827,SWD,1.53,1.53,Yes,Good,0.794761,22.96
12.97949839,80.19460358,,,completely inundated,15.0,1,CRITICAL,13.65,348.1,5.45,25.0,12.0,0.058872321170877644,SWD,0.67,0.67,Yes,Good,0.131422,5.28
12.98092971,80.19526441,,,completely inundated,11.0,1,HIGH,13.65,348.1,5.45,18.33,11.0,0.14616787805294248,Side Drain,0.63,0.63,Yes,Bad,0.14985600000000002,5.48
12.98199608,80.19589942,,,completely inundated,10.0,1,HIGH,13.65,348.1,5.45,16.67,12.0,0.21075058157870633,SWD,1.2,1.2,Yes,Good,0.5196830000000001,15.75
12.95934218,80.24459191,,,completely inundated and drain in 4 hours,15.0,1,CRITICAL,13.65,348.1,5.45,25.0,10.0,0.07751344374718205,Side Drain,0.39,0.39,Yes,Bad,0.116849,3.69
12.95902296,80.24447858,,,completely inundated,13.0,1,CRITICAL,13.65,348.1,5.45,21.67,8.0,0.05794150507026558,Side Drain,0.39,0.39,Yes,Bad,0.116849,3.69
12.95875634,80.24434246,,,completely inundated,10.0,1,HIGH,13.65,348.1,5.45,16.67,8.0,0.053829062731192735,Side Drain,0.39,0.39,Yes,Bad,0.116849,3.69
12.96233213,80.24597425,,,completely inundated,13.0,1,CRITICAL,13.65,348.1,5.45,21.67,6.0,0.1001221031992106,Side Drain,0.39,0.39,Yes,Bad,0.121108,3.78
13.03326511,80.20966519,,,completely inundated blocking connection road,7.0,1,HIGH,13.65,348.1,5.45,11.67,13.0,0.08906788001020788,SWD,0.9,0.9,Yes,Bad,0.29367400000000005,9.69
13.03337878,80.20970542,,,partially inundated,7.8,1,HIGH,13.65,348.1,5.45,13.0,13.0,0.0758832820541009,SWD,0.9,0.9,Yes,Bad,0.29367400000000005,9.69
13.03347906,80.20972352,,,partially inundated,7.0,1,HIGH,13.65,348.1,5.45,11.67,13.0,0.06531289417076243,SWD,0.9,0.9,Yes,Bad,0.29367400000000005,9.69
13.03314752,80.20967625,,,partially inundated,7.5,1,HIGH,13.65,348.1,5.45,12.5,13.0,0.10032772234528803,SWD,0.9,0.9,Yes,Bad,0.29367400000000005,9.69
13.03524944,80.20977851,,,completely inundated  blocking road,21.0,1,CRITICAL,13.65,348.1,5.45,35.0,16.0,0.12292315012941119,SWD,1.23,1.23,Yes,Good,0.265607,10.63
13.03509069,80.20992771,,,completely inundated  blocking road reported,15.0,1,CRITICAL,13.65,348.1,5.45,25.0,16.0,0.1064583605523546,SWD,1.23,1.23,Yes,Good,0.265607,10.63
13.03666573,80.21224346,,,completely inundated,13.0,1,CRITICAL,13.65,348.1,5.45,21.67,18.0,0.08799835435948455,SWD,1.1,1.1,Yes,Good,0.162693,7.9
13.03682611,80.21225151,,,completely inundated,11.0,1,HIGH,13.65,348.1,5.45,18.33,18.0,0.08463114002953563,SWD,1.1,1.1,Yes,Good,0.162693,7.9
13.03689078,80.21223843,,,completely inundated covering entirely junction,13.0,1,CRITICAL,13.65,348.1,5.45,21.67,18.0,0.0825451886872031,SWD,1.1,1.1,Yes,Good,0.162693,7.9
13.03706226,80.21225553,,,partially inundated covering one lane,11.0,1,HIGH,13.65,348.1,5.45,18.33,18.0,0.08557647728611975,SWD,1.1,1.1,Yes,Good,0.162693,7.9
13.03737681,80.21225922,,,partially inundated covering one lane,11.0,1,HIGH,13.65,348.1,5.45,18.33,18.0,0.09823160964752514,SWD,1.1,1.1,Yes,Good,0.162693,7.9
13.03765445,80.21225452,,,partially inundated covering one lane,11.0,1,HIGH,13.65,348.1,5.45,18.33,17.0,0.09035012423819735,SWD,0.9,0.9,Yes,Good,0.13243500000000002,6.36
13.03690417,80.21207515,,,completely inundated,15.0,1,CRITICAL,13.65,348.1,5.45,25.0,18.0,0.06480644624496631,SWD,1.1,1.1,Yes,Good,0.162693,7.9
13.03554962,80.20695616,,,completely inundated,11.0,1,HIGH,13.65,348.1,5.45,18.33,15.0,0.11537789355266342,SWD,1.23,1.23,Yes,Good,0.009592,5.33
13.0356316,80.20589802,,,completely inundated,11.0,1,HIGH,13.65,348.1,5.45,18.33,14.0,0.07205896711534095,SWD,688.649812050542,1.2,Yes,Good,0.68865,48.02
13.03607256,80.20274777,,,completely inundated,14.0,1,CRITICAL,13.65,348.1,5.45,23.33,17.0,0.022989285293731336,SWD,271.239273687065,2.5,Yes,Good,0.271239,27.83
13.03663405,80.19968636,,,completely inundated,15.0,1,CRITICAL,13.65,348.1,5.45,25.0,16.0,0.029059605206037002,SWD,37.1688552872238,2.55,Yes,Good,0.037169,13.41
13.0372798,80.19529894,,,completely inundated,14.0,1,CRITICAL,13.65,348.1,5.45,23.33,15.0,0.025277951480572713,SWD,1.19,1.19,Yes,Good,0.540022,16.12
13.03729809,80.20456363,,,completely inundated,16.0,1,CRITICAL,13.65,348.1,5.45,26.67,16.0,0.014700216045721238,SWD,251.74232785962,1.48,Yes,Good,0.251742,21.96
13.04049353,80.20510074,,,completely inundated,16.0,1,CRITICAL,13.65,348.1,5.45,26.67,17.0,0.061058399368828196,SWD,228.741519290665,0.7,Yes,Good,0.228742,16.98
13.03851317,80.2084877,,,tree fall,5.0,1,MODERATE,13.65,348.1,5.45,8.33,17.0,0.11017504109344725,SWD,955.642488167453,1.2,Yes,Good,0.955642,64.72
13.04044258,80.20873312,,,completely inundated,8.5,1,HIGH,13.65,348.1,5.45,14.17,16.0,0.008655365826135642,SWD,1.01,1.01,Yes,Good,0.749981,19.64
13.04134636,80.20884611,,,completely inundated,10.0,1,HIGH,13.65,348.1,5.45,16.67,16.0,0.10637394038420726,SWD,1.01,1.01,Yes,Good,0.072969,5.63
13.04187713,80.20896513,,,completely inundated,15.0,1,CRITICAL,13.65,348.1,5.45,25.0,14.0,0.06440351798437205,SWD,1.01,1.01,Yes,Good,0.072969,5.63
13.04313399,80.2091093,,,completely inundated,11.0,1,HIGH,13.65,348.1,5.45,18.33,15.0,0.1321057641239119,SWD,1.01,1.01,Yes,Good,0.072969,5.63
13.03779327,80.21318257,,,completely inundated,8.0,1,HIGH,13.65,348.1,5.45,13.33,14.0,0.06702977375594237,SWD,1.1,1.1,Yes,Good,0.143909,7.51
13.03841877,80.21368448,,,completely inundated,9.0,1,HIGH,13.65,348.1,5.45,15.0,16.0,0.10058080580410338,SWD,0.95,0.95,Yes,Good,0.199628,7.98
13.03906975,80.21412872,,,completely inundated,9.0,1,HIGH,13.65,348.1,5.45,15.0,16.0,0.05156986637888413,SWD,0.83,0.83,Yes,Good,0.064324,4.62
13.03939311,80.21418136,,,completely inundated covering  junction,9.0,1,HIGH,13.65,348.1,5.45,15.0,15.0,0.033648943894965394,SWD,1.2,1.2,Yes,Good,0.569881,16.79
13.03987947,80.21467086,,,completely inundated,9.0,1,HIGH,13.65,348.1,5.45,15.0,15.0,0.03313552204475689,SWD,1.1,1.1,Yes,Good,0.885576,22.86
13.04052979,80.21511275,,,completely inundated  raised upto 10,9.0,1,HIGH,13.65,348.1,5.45,15.0,15.0,0.05561357173030534,SWD,1.1,1.1,Yes,Good,0.885576,22.86
13.04337308,80.21982808,,,completely inundated,8.0,1,HIGH,13.65,348.1,5.45,13.33,15.0,0.02777243222663574,SWD,0.8,0.8,Yes,Good,0.522386,13.97
13.04304286,80.22149339,,,completely inundated,11.0,1,HIGH,13.65,348.1,5.45,18.33,15.0,0.16649267553738176,SWD,0.9,0.9,Yes,Good,0.35771400000000003,11.02
13.04204894,80.22540171,,,completely inundated,11.0,1,HIGH,13.65,348.1,5.45,18.33,16.0,0.06583388515586312,SWD,0.09,0.09,Yes,Good,0.238968,4.84
13.04179743,80.22642028,,,completely inundated,11.0,1,HIGH,13.65,348.1,5.45,18.33,15.0,0.008576044070148512,SWD,1.01,1.01,Yes,Good,0.39487900000000004,12.29
13.04126503,80.22883125,,,completely inundated  and subway closed,60.0,1,CRITICAL,13.65,348.1,5.45,100.0,16.0,0.11251887890601789,SWD,1.26,1.26,Yes,Good,0.150292,8.38
13.04224263,80.22493768,,,completely inundated junction,9.0,1,HIGH,13.65,348.1,5.45,15.0,15.0,0.12033305545902727,SWD,0.09,0.09,Yes,Good,0.238968,4.84
13.04531127,80.22578862,,,completely inundated,11.0,1,HIGH,13.65,348.1,5.45,18.33,15.0,0.09389504535359974,SWD,1.36,1.36,Yes,Good,0.652238,19.23
13.04620557,80.2260793,,,,11.0,1,HIGH,13.65,348.1,5.45,18.33,14.0,0.04815827137412668,SWD,1.2,1.2,Yes,Bad,0.43006,13.89
13.04669354,80.22620972,,,completely inundated,11.0,1,HIGH,13.65,348.1,5.45,18.33,15.0,0.011580316058402894,SWD,1.2,1.2,Yes,Bad,0.43006,13.89
13.0467471,80.22603907,,,completely inundated blocking junction,11.0,1,HIGH,13.65,348.1,5.45,18.33,15.0,0.028864169712887425,SWD,1.2,1.2,Yes,Bad,0.43006,13.89
13.04743791,80.23296855,,,completely inundated,13.0,1,CRITICAL,13.65,348.1,5.45,21.67,12.0,0.04290232434359927,SWD,0.95,0.95,Yes,Good,0.081277,5.53
13.04691597,80.23300476,,,completely inundated,9.0,1,HIGH,13.65,348.1,5.45,15.0,12.0,0.09495782471705917,SWD,0.95,0.95,Yes,Good,0.081277,5.53
13.0435978,80.2324757,,,completely inundated,11.0,1,HIGH,13.65,348.1,5.45,18.33,14.0,0.12268309265066578,SWD,0.82,0.82,Yes,Good,0.54362,14.5
13.04528841,80.23285322,,,completely inundated,11.0,1,HIGH,13.65,348.1,5.45,18.33,13.0,0.06391076106551774,SWD,0.8,0.8,Yes,Good,0.083998,4.89
13.04845337,80.23321934,,,completely inundated,11.0,1,HIGH,13.65,348.1,5.45,18.33,16.0,0.0785223182370839,SWD,0.95,0.95,Yes,Good,0.081277,5.53
13.05005478,80.23341246,,,,5.0,1,MODERATE,13.65,348.1,5.45,8.33,13.0,0.0826375696411858,SWD,1.03,1.03,Yes,Good,0.07653599999999999,5.8
13.05311549,80.23425534,,,completely inundated,12.0,1,CRITICAL,13.65,348.1,5.45,20.0,14.0,0.08151550373843573,SWD,0.72,0.72,Yes,Good,0.200661,6.94
13.04524954,80.24009485,,,completely inundated under flyover upto 7,9.0,1,HIGH,13.65,348.1,5.45,15.0,11.0,0.049267427202833974,SWD,1.59,1.59,Yes,Good,0.018682,7.17
13.04495068,80.24028931,,,,11.0,1,HIGH,13.65,348.1,5.45,18.33,11.0,0.02076091809848306,SWD,1.59,1.59,Yes,Good,0.018682,7.17
13.04463679,80.23957115,,,completely inundated under flyover upto  8,8.0,1,HIGH,13.65,348.1,5.45,13.33,17.0,0.10587555504164592,SWD,1.59,1.59,Yes,Good,0.018682,7.17
13.03507697,80.23046203,,,completely inundated,10.0,1,HIGH,13.65,348.1,5.45,16.67,13.0,0.11870672907367708,SWD,0.9,0.9,Yes,Good,0.114738,5.99
13.03451026,80.23039967,,,completely inundated upto 10,8.0,1,HIGH,13.65,348.1,5.45,13.33,10.0,0.11724194708183291,SWD,1.25,1.25,Yes,Good,0.339588,12.25
13.03510898,80.23011334,,,completely inundated upto 10,8.0,1,HIGH,13.65,348.1,5.45,13.33,13.0,0.0920437477716191,SWD,0.9,0.9,Yes,Good,0.114738,5.99
13.03695578,80.23604203,,,completely inundated upto 15inches,20.0,1,CRITICAL,13.65,348.1,5.45,33.33,13.0,0.0852895681224932,SWD,1.04,1.04,Yes,Good,0.166743,7.71
13.03987881,80.24318475,,,completely inundated upto 10 inch reported,15.0,1,CRITICAL,13.65,348.1,5.45,25.0,14.0,0.1485784189403133,SWD,0.68,0.68,Yes,Good,0.285956,8.52
13.05355413,80.23588646,,,partially inundated,7.0,1,HIGH,13.65,348.1,5.45,11.67,15.0,0.08331233256518954,SWD,1.14,1.14,Yes,Good,0.006220000000000001,4.85
13.05406887,80.22836655,,,partially inundated,7.0,1,HIGH,13.65,348.1,5.45,11.67,13.0,0.1486299798211189,SWD,0.98,0.98,Yes,Good,0.726642,19.02
13.05374324,80.22576313,,,partially inundated reported upto 7,10.0,1,HIGH,13.65,348.1,5.45,16.67,18.0,0.07760434113327508,SWD,0.7,0.7,Yes,Good,0.12019200000000001,5.18
13.05082494,80.21998633,,,completely inundated,9.0,1,HIGH,13.65,348.1,5.45,15.0,15.0,0.10374313562813657,SWD,0.8,0.8,Yes,Good,0.480349,13.1
